Paragraph,Language
"he moral imperative offered to psychology byboth Jackson (2000, this issue) and Strickland(2000, this issue) is to move into this new centu-ry leaving not one single person behind. No one shouldhave their future, their health, or their well-being com- promised for reasons o f class, gender, national origin, physical and psychological abilities, religion, or sexual orientation, or as a result of unfair distribution of resources. Both authors exhort psychologists to work diligently to ensure the brightest future for all.",English
"In 1999, the American Psychological Association(APA) embraced issues of race, ethnicity, culture, and mul-ticulturalism. This focus was historic in its scope and resulted in rich contributions to the field. The presidency ofRichard Suinn, the first Asian American president of APA,which coincided with the terms of five division presidents drawn from persons of color (D. W. Sue, Bingham, Porchr Burke, & Vasquez, 1999), became an organizing force thatconcentrated the association's ability to address questions ofdiversity, difference, and inequality (D. W. Sue et al., 1999).",English
"This was most evident at two meetings: the January 1999 National Multicultural Conference and Summit (NMCS)and APA's 107th annual convention in August 1999. At the APA convention, many psychologists participated in anopening ceremony of cultural sharing, highlighted by the interconnectedness of the participants despite their many differences. The Reverend Jesse Jackson spoke eloquently at the ceremony about the inequalities in U.S. society andthe social problems they generate: increased violence, a sense of hopelessness, deteriorating physical and mental health, and reductions in health care, social services, and the quality and amount of educational resources.",English
"The tools of psychology in the next century ought to address Strickland's and Jackson's concerns about those who are different. The tools should possess not only internal validity but extemal validity (S. Sue, 1999), or they will fail to address the inclusive social justice agenda that Jackson (2000), Strickland (2000), and the participants in the NMCS (D. W. Sue et al., 1999) see as APA's moral imperative in this next century.",English
"Psychology, as a discipline, needs also to ensure that its approaches to promoting psychological well-being and preventing mental disorders are culturally valid and available, delivered competently, and affordable to all who need them (Ziglio, Levin, & Bertinato, 1999). We can learn from the field of public health, which advocates prevention at a community or population level to eliminate or significantly reduce morbidity (Albee, 1998a, 1998b). Effective prevention will help individuals find ways of building their individual capacity, but achieving good mental health at an individual level is often beyond the control of Individuals.",English
"This wealth offers both unthought-of possibilities and dangers. On the one hand, we now possess the resources to address difficulties that can only be solved by investment in our common social future. On the other hand, growing economic inequalities threaten our very social cohesion (Kaplan, 1996; Kaplan, Pamuk, Lynch, Cohen, & Balfour, 1996; Wallace, 1996; Wilkinson, 1996; Wolff, 1995) and have presented the public with apparently senseless crimes where children kill children, where police kill the mentally ill, and where many die from preventable illness because they were the last to get health care.",English
"At the same meeting where the Reverend Jackson spoke, Strickland (2000), in her Distinguished Contributions to Psychology in the Public Interest Award address, issued a summons for psychologists to rise to the challenge issued at an APA meeting over 30 years ago by Dr. Martin Luther King, Jr., (1968) and renewed by Jackson (2000). If psychology is to show society the path to greater equality among its members, psychologists must demonstrate that psychology's methods and procedures can embrace diversity.",English
"Whereas King worried primarily about gaps in equality between races, Jackson (2000) and Strickland (2000) presented a broaderagenda in which they implored social scientists to understand that the behaviors they seek to study, modify, and eliminate are related to gaps resulting from poverty, inequality, and inequity (Kawachi, Wilkinson, & Kennedy, 1999; Mays & Cochran, 1994, 1998; Mays, Coleman, & Jackson, 1996; Sampson, Raudenbush, & Earls, 1997). These behaviors are inextricably linked to wealth, economics, education, governmental policies, and even the professional policies of Psychology.",English
"Psychology must not focus itself solely on the mental health of individuals when the nation is trying to understand the senseless torture and death of people hated because of their gender, race, religious beliefs, or sexual orientation.",English
"Psychologists must not look merely to individual behavior to grasp why a 12-year-old girl becomes pregnant intentionally, an ll-year-old shoots another child, or police sodomize a man in custody, or to understand ethnic cleansings. Strickland (2000) observed that the future of psychology requires psychologists to be willing to articulate, teach, and develop a body of science informed by social justice.",English
"O u r progress as a discipline, as a nation, a n d as global citizens d e p e n d s o n our ability to include e v e r y o n e in the f u t u r e - - t o b e fair to all, not just to some.",English
"Social and economic detemainants of health: Implications for promoting the health of the public. In D. Harrison & E. Ziglio (Eds.), Social determinants of health: Implications .for the health professions (Forums in Experimental and Clinical Medicine, Suppl. 4). Retrieved February 17, 2000, from the World Wide Web: http://www.accmed.net/hpi/documenti/index.htm",English
"come here today to remind you that injustice is still with us, albeit in different manifestations than it was 32 years ago when Dr. King addressed the American Psychological Association. Dr. King praised this group and noted that psychologists are charged with the solemn mission of helping people live well-adjusted, fulfilling lives, but with a caveat. He challenged you to foster what he called creative maladjustment (King, 1968).",English
"By that he meant people should question the precepts of society and reject those that permit injustice to form and grow. He viewed the social sciences as instruments of social c h a n g e - - s a w their mission as the extirpation of evil. He appealed to you to observe and report, fully and accurately, the complexity of our societal relations. Further, he called for research on how structural change designed to promote a more just society might be crafted and implemented.",English
